"parcela_id","arvore_id","CAP","altura","Ano"
1,1,28.06450064,14.5,2019
1,2,32.81557752,0,2019
1,3,31.82116608,0,2019
1,4,28.94842192,0,2019
1,5,31.93165624,0,2019
1,6,24.52881552,14.8,2019
1,7,32.15263656,14,2019
1,8,34.03096928,15,2019
1,9,33.147048,15.5,2019
1,10,25.19175648,13.8,2019
1,11,28.1749908,15,2019
1,12,27.0700892,0,2019
1,13,28.39597112,0,2019
1,14,31.4896956,0,2019
1,15,20.9931304,0,2019
1,16,31.60018576,0,2019
1,17,19.55675832,0,2019
1,18,31.60018576,0,2019
1,19,32.92606768,0,2019
1,20,32.37361688,0,2019
1,21,33.36802832,0,2019
1,22,32.5945972,0,2019
1,23,31.37920544,0,2019
1,24,33.92047912,0,2019
1,25,33.6994988,0,2019
1,26,28.1749908,0,2019
1,27,33.36802832,0,2019
1,29,37.34567408,15,2019
1,30,30.05332352,0,2019
1,31,29.61136288,0,2019
1,33,35.68832168,15,2019
1,34,23.64489424,0,2019
1,35,34.2519496,0,2019
1,36,28.50646128,0,2019
1,37,26.18616792,0,2019
1,38,26.29665808,0,2019
1,39,28.28548096,0,2019
1,40,27.40155968,0,2019
1,41,29.61136288,0,2019
1,42,31.4896956,0,2019
1,43,31.4896956,0,2019
1,44,24.08685488,0,2019
1,45,31.26871528,0,2019
1,47,35.3568512,0,2019
1,48,35.909302,15,2019
1,49,29.2798924,0,2019
1,50,36.4617528,14.9,2019
1,51,28.1749908,0,2019
1,52,19.11479768,0,2019
1,53,32.0421464,0,2019
1,54,34.03096928,0,2019
1,55,31.37920544,0,2019
1,56,30.05332352,0,2019
1,57,29.05891208,0,2019
1,58,31.60018576,0,2019
1,59,32.37361688,0,2019
1,60,30.384794,0,2019
1,61,23.86587456,0,2019
1,62,33.36802832,0,2019
1,63,29.8323432,0,2019
1,64,30.71626448,0,2019
1,65,32.5945972,0,2019
1,66,30.9372448,0,2019
1,67,30.49528416,0,2019
1,68,28.7274416,0,2019
1,69,30.05332352,0,2019
1,70,34.2519496,0,2019
1,71,28.1749908,0,2019
1,73,35.909302,14.6,2019
1,74,32.15263656,0,2019
1,75,26.5176384,0,2019
1,76,28.94842192,0,2019
1,77,34.2519496,0,2019
1,79,22.31901232,0,2019
1,80,22.98195328,0,2019
2,1,34.69391024,15.5,2019
2,3,40.21841824,16.2,2019
2,4,37.34567408,16.2,2019
2,6,31.82116608,14.6,2019
2,7,34.58342008,15.3,2019
2,8,36.90371344,15.2,2019
2,9,33.147048,15,2019
2,10,32.37361688,14.5,2019
2,11,32.37361688,14.4,2019
2,12,24.52881552,12.6,2019
2,13,36.13028232,14.5,2019
2,14,37.67714456,15,2019
2,15,29.94283336,13.2,2019
2,15,23.86587456,12.5,2019
2,16,31.93165624,13.8,2019
2,19,28.50646128,0,2019
2,20,24.52881552,0,2019
2,22,37.78763472,14.4,2019
2,24,24.41832536,0,2019
2,25,33.47851848,0,2019
2,26,33.80998896,0,2019
2,27,21.32460088,0,2019
2,28,36.79322328,0,2019
2,30,32.81557752,0,2019
2,31,35.79881184,0,2019
2,32,39.88694776,16.2,2019
2,33,33.92047912,0,2019
2,34,32.37361688,0,2019
2,35,31.04773496,0,2019
2,37,36.79322328,0,2019
2,38,31.37920544,0,2019
2,39,28.39597112,0,2019
2,40,35.79881184,0,2019
2,41,37.89812488,16,2019
2,42,35.46734136,0,2019
2,44,27.29106952,0,2019
2,44,28.61695144,0,2019
2,46,38.671556,15.1,2019
2,49,37.5666544,0,2019
2,50,32.0421464,0,2019
2,51,33.47851848,0,2019
2,52,29.8323432,0,2019
2,53,36.4617528,0,2019
2,54,32.0421464,0,2019
2,55,29.16940224,0,2019
2,56,29.8323432,0,2019
2,57,26.84910888,0,2019
2,58,30.71626448,0,2019
2,59,30.49528416,0,2019
2,60,30.05332352,0,2019
2,61,33.80998896,0,2019
2,62,33.36802832,0,2019
2,65,36.68273312,0,2019
2,66,31.15822512,0,2019
2,67,31.26871528,0,2019
2,68,26.95959904,0,2019
2,69,33.147048,0,2019
2,70,32.70508736,0,2019
2,71,37.12469376,0,2019
2,72,32.70508736,0,2019
2,73,26.95959904,0,2019
2,74,37.12469376,0,2019
2,76,29.05891208,0,2019
2,77,37.5666544,0,2019
2,78,34.91489056,0,2019
2,79,36.79322328,0,2019
2,80,25.63371712,0,2019
3,1,34.14145944,14.8,2019
3,2,33.80998896,15,2019
3,3,35.13587088,15.1,2019
3,4,38.45057568,15.8,2019
3,5,34.2519496,15.2,2019
3,6,31.15822512,14.7,2019
3,7,35.02538072,15.3,2019
3,8,32.48410704,14.5,2019
3,9,33.36802832,14.8,2019
3,10,31.93165624,15,2019
3,11,33.47851848,15.3,2019
3,12,37.89812488,15.5,2019
3,13,29.61136288,14.1,2019
3,14,33.36802832,15,2019
3,15,34.58342008,15,2019
3,16,29.05891208,0,2019
3,17,31.15822512,0,2019
3,18,34.58342008,0,2019
3,19,32.81557752,0,2019
3,20,30.16381368,0,2019
3,21,32.81557752,0,2019
3,22,35.909302,0,2019
3,23,33.92047912,0,2019
3,24,29.61136288,0,2019
3,25,27.29106952,0,2019
3,26,34.58342008,0,2019
3,27,25.63371712,0,2019
3,28,35.79881184,0,2019
3,29,32.37361688,0,2019
3,30,31.37920544,0,2019
3,31,28.61695144,0,2019
3,32,30.60577432,0,2019
3,33,32.0421464,0,2019
3,34,27.95401048,0,2019
3,35,33.80998896,0,2019
3,36,29.94283336,0,2019
3,37,32.92606768,0,2019
3,38,29.72185304,0,2019
3,39,34.58342008,0,2019
