	parcela_id	idade	hdom
1	1	3	15.0087896969376
2	1	4	22.7893720995759
3	1	5	24.9035924603251
4	1	6	25.9001397509865
5	2	3	15.729687071783
6	2	4	22.3962733514212
7	2	5	24.4748660665289
8	2	6	25.4542120517893
9	3	3	15.5822629557202
10	3	4	20.3425316899004
11	3	5	22.2276478376757
12	3	6	23.1171495177509
13	4	3	15.3666666666667
14	4	4	20.35692
15	4	5	22.248
16	4	6	23.13792
17	5	3	15.6750969304479
18	5	4	19.8129532779397
19	5	5	21.6496071150429
20	5	6	22.5160236574211
21	6	3	16.1216596389157
22	6	4	20.6739446294815
23	6	5	22.5901060387234
24	6	6	23.4941294930256
25	7	3	15.459819873631
26	7	4	22.6751441605502
27	7	5	24.7786992799839
28	7	6	25.7702533848542
29	8	3	16.4723280345706
30	8	4	23.072257680025
31	8	5	25.214183514003
32	8	6	26.2230634989774
33	9	3	16.2923237694042
34	9	4	22.8718743054853
35	9	5	24.995542752996
36	9	6	25.995649094747
37	10	3	17.6363881814697
38	10	4	25.616022117302
39	10	5	27.9978808403437
40	10	6	29.1177716181823
41	11	3	18.0698415569734
42	11	4	24.8058605189812
43	11	5	27.1101974446028
44	11	6	28.1948033656779
45	12	3	16.7166666666667
46	12	4	22.6816942617193
47	12	5	24.7863673400472
48	12	6	25.778201056024
49	13	3	16.6755169323001
50	13	4	21.3497376905117
51	13	5	23.3305011830003
52	13	6	24.2641103494172
53	14	3	15.7393455206676
54	14	4	21.1749020458189
55	14	5	23.1380373712986
56	14	6	24.0639909574231
57	15	3	15.6234154357264
58	15	4	20.8485374072249
59	15	5	22.7811388581893
60	15	6	23.692813032312
61	16	3	15.3638510310104
62	16	4	20.7198959247948
63	16	5	22.6410455268654
64	16	6	23.547118132285
65	17	3	16.2677081845494
66	17	4	21.2156552749759
67	17	5	23.1838491297364
68	17	6	24.1115983564912
69	18	3	15.9031659908957
70	18	4	19.800410730468
71	18	5	21.6353671162192
72	18	6	22.5011972662717
73	19	3	16.6479891919193
74	19	4	19.988900730468
75	19	5	21.8413671162193
76	19	6	22.7154372662717
77	20	3	18.0166666666667
78	20	4	22.0021105115963
79	20	5	24.0435935440781
80	20	6	25.005719791526
81	21	3	17.5738602985216
82	21	4	22.3724289081419
83	21	5	24.4486791408619
84	21	6	25.4269861462826
85	22	3	15.7007976643231
86	22	4	19.1850961441548
87	22	5	20.9630714738401
88	22	6	21.802019627415
89	23	3	15.4462504618963
90	23	4	18.9475349451518
91	23	5	20.6983054225755
92	23	6	21.5270105132026
93	24	3	15.4646267065009
94	24	4	20.7165894965586
95	24	5	22.6349280908339
96	24	6	23.5413986115576
97	25	3	15.8449422607896
98	25	4	19.10032
99	25	5	20.8746666666667
100	25	6	21.7096533333333
101	26	3	15.4690328143364
102	26	4	19.2314382002491
103	26	5	21.0161599666765
104	26	6	21.8571487398121
105	27	3	15.6815315664417
106	27	4	19.1644691899004
107	27	5	20.9401478376757
108	27	6	21.7781495177509
109	28	3	14.6635916471638
110	28	4	17.7371048609797
111	28	5	19.3798145393855
112	28	6	20.1552419814772
113	29	3	15.8114246965786
114	29	4	21.2332948704114
115	29	5	23.2035991896756
116	29	6	24.1321110232921
117	30	3	15.9228849533133
118	30	4	20.1205897370031
119	30	5	21.9852351681958
120	30	6	22.865055822034
